datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.14T05:00:00.000,15554554.2,3200.334064,1679841.525,1.368155
2014.02.14T06:00:00.000,15553417.3,-1136.9,5965.9,1.368055
2014.02.14T07:00:00.000,15551825.64,-1591.66,8352.26,1.367915
2014.02.14T08:00:00.000,1972545.225,24051.89128,13974328.99,1.370775
2014.02.14T09:00:00.000,1951772.625,-1588.861394,119832.57,1.369665
2014.02.14T10:00:00.000,1989382.215,-721.5693291,8177.73,1.369155
2014.02.14T11:00:00.000,690230.52,305.6039019,1463816.505,1.369505
2014.02.14T12:00:00.000,690865.56,635.04,89404.56,1.370765
2014.02.14T13:00:00.000,693551.43,-55.98159895,5063.85,1.370655
2014.02.14T14:00:00.000,695500.26,-791.366872,107956.29,1.369095
2014.02.14T15:00:00.000,814331.875,-310.140103,85719.175,1.368625
2014.02.14T16:00:00.000,247726.555,74.97804399,579703.82,1.368655
2014.02.14T17:00:00.000,271062.99,67.31891404,61977.285,1.369005
2014.02.14T18:00:00.000,269798.395,104.625586,63914.045,1.369535
2014.02.14T19:00:00.000,260228.75,18.57765335,21502.225,1.369625
2014.02.14T20:00:00.000,250694.445,53.36876298,41291.265,1.369915
2014.02.14T21:00:00.000,250687.125,-7.32,2861.64,1.369875
2014.02.16T22:00:00.000,250582.815,-104.31,40778.37,1.369305
2014.02.16T23:00:00.000,257572.22,138.0466542,66701.745,1.370065
2014.02.17T00:00:00.000,-127449.525,-84.63952977,506777.175,1.370425
2014.02.17T01:00:00.000,-158999.46,-31.58179954,83116.455,1.370685
2014.02.17T02:00:00.000,362280.6,79.23949237,655073.67,1.372275
2014.02.17T03:00:00.000,367507.06,-259.819583,65409.98,1.371295
2014.02.17T04:00:00.000,367421.3,-85.76,23150.72,1.370975
2014.02.17T05:00:00.000,356448.3,-3.566181376,15004.54,1.370955
2014.02.17T06:00:00.000,364596.89,-70.11315085,535506.17,1.370665
2014.02.17T07:00:00.000,351107.84,224.6300895,86536.67,1.371515
2014.02.17T08:00:00.000,385069.755,-294.7993992,50168.245,1.370355
2014.02.17T09:00:00.000,375425.21,-51.55894487,3978.815,1.370165
2014.02.17T10:00:00.000,375392.33,-32.85661423,5998.31,1.370045
2014.02.17T11:00:00.000,366015.615,216.3706567,67853.515,1.370845
2014.02.17T12:00:00.000,367295.34,-90.86427133,23391.355,1.370505
2014.02.17T13:00:00.000,348001.59,-112.4406487,10513.95,1.370085
2014.02.17T14:00:00.000,353525.79,44.50758284,23348.24,1.370255
2014.02.17T15:00:00.000,367287.3,61.10450329,29735.71,1.370475
2014.02.17T16:00:00.000,383674.2,-58.49909728,1138.8,1.370265
2014.02.17T17:00:00.000,383772.2,98,25511.5,1.370615
2014.02.17T18:00:00.000,353360.67,-259.0203236,40019.24,1.369615
2014.02.17T19:00:00.000,356307.9,206.2726979,61072.03,1.370415
2014.02.17T20:00:00.000,361779,-10.71637807,2564.86,1.370375
2014.02.17T21:00:00.000,361810.68,31.68,8750.4,1.370495
2014.02.17T22:00:00.000,361874.04,63.36,17500.8,1.370735
2014.02.17T23:00:00.000,361818.6,-55.44,15313.2,1.370525
2014.02.18T00:00:00.000,361786.92,-31.68,8750.4,1.370405
2014.02.18T01:00:00.000,423353.175,-53.04925357,2939408.625,1.370075
2014.02.18T02:00:00.000,297330.145,15.66443073,986571.22,1.370185
2014.02.18T03:00:00.000,293422.89,207.1580586,624574.555,1.371135
2014.02.18T04:00:00.000,293431.45,8.56,3048,1.371175
2014.02.18T05:00:00.000,156327.63,39.60215902,146273.5,1.371295
2014.02.18T06:00:00.000,87737.92,-45.37909591,38788.25,1.370905
2014.02.18T07:00:00.000,93211.34,-10.6087538,5969.48,1.370755
2014.02.18T08:00:00.000,16458.42,29.48276112,553308.72,1.371535
2014.02.18T09:00:00.000,-148165.74,-91.04709789,44815594.81,1.371905
2014.02.18T10:00:00.000,-150965.65,-54.86415059,942353.69,1.372415
2014.02.18T11:00:00.000,-579243.53,-210.8279484,1095386.13,1.372615
